gender,contract,paymentmethod,internetservice,charges_total,tenure,churn,cuentas_diarias
Male,Month-to-month,Electronic check,Fiber optic,605.45,7,No,2.966666666666667
Female,Month-to-month,Mailed check,Fiber optic,1972.35,27,No,2.48
Male,Month-to-month,Mailed check,No,33.7,2,No,0.6683333333333333
Female,Two year,Bank transfer (automatic),DSL,844.45,25,No,1.1683333333333332
Male,Month-to-month,Electronic check,DSL,2111.3,30,No,2.4916666666666667
Female,One year,Credit card (automatic),Fiber optic,6205.5,58,Yes,3.5166666666666666
Male,Month-to-month,Electronic check,Fiber optic,855.3,10,Yes,2.841666666666667
Female,Month-to-month,Credit card (automatic),Fiber optic,633.85,9,No,2.506666666666667
Female,Month-to-month,Electronic check,Fiber optic,474.9,6,Yes,2.8116666666666665
Female,One year,Bank transfer (automatic),Fiber optic,5848.6,69,No,2.815
Female,Two year,Bank transfer (automatic),Fiber optic,6471.85,66,No,3.4133333333333336
Female,One year,Credit card (automatic),Fiber optic,8127.6,70,Yes,3.8516666666666666
Male,One year,Bank transfer (automatic),No,676.35,25,Yes,0.8433333333333334
Female,Two year,Mailed check,No,864.2,46,No,0.6416666666666667
Female,One year,Mailed check,Fiber optic,6049.5,54,No,3.8216666666666668
Female,Month-to-month,Electronic check,Fiber optic,1582.75,15,Yes,3.503333333333333
Female,Month-to-month,Bank transfer (automatic),No,198.1,12,No,0.6466666666666666
Female,Month-to-month,Electronic check,DSL,1098.85,22,No,1.6783333333333335
Female,Two year,Bank transfer (automatic),DSL,4039.3,70,No,1.9266666666666665
Male,Month-to-month,Credit card (automatic),Fiber optic,2438.6,30,No,2.81
Male,One year,Bank transfer (automatic),Fiber optic,7113.75,71,No,3.3516666666666666
Male,One year,Credit card (automatic),No,576.65,30,No,0.66
Male,Month-to-month,Bank transfer (automatic),Fiber optic,371.9,4,Yes,2.8266666666666667
Male,Month-to-month,Electronic check,Fiber optic,167.3,2,Yes,2.8616666666666664
Male,One year,Bank transfer (automatic),No,219.5,10,No,0.6649999999999999
Male,Month-to-month,Electronic check,Fiber optic,273.4,4,No,2.5116666666666663
Male,Month-to-month,Credit card (automatic),DSL,2555.05,52,No,1.6266666666666665
Male,Month-to-month,Electronic check,DSL,223.15,5,Yes,1.5716666666666665
Male,Two year,Mailed check,No,165.5,8,No,0.6716666666666666
Female,Month-to-month,Electronic check,DSL,89.3,2,No,1.4766666666666666
Male,Month-to-month,Electronic check,Fiber optic,235.05,3,No,2.81
Male,Month-to-month,Electronic check,DSL,1144.6,19,No,1.9849999999999999
Male,Two year,Bank transfer (automatic),DSL,4908.25,72,No,2.3216666666666668
Male,One year,Bank transfer (automatic),DSL,2298.9,63,No,1.2033333333333334
Male,Two year,Bank transfer (automatic),DSL,3789.2,66,No,1.8866666666666667
Male,Month-to-month,Electronic check,Fiber optic,75.9,1,Yes,2.5300000000000002
Female,One year,Bank transfer (automatic),Fiber optic,4765.0,60,No,2.64
Female,One year,Credit card (automatic),DSL,2196.3,48,No,1.5
Female,Month-to-month,Credit card (automatic),Fiber optic,85.55,1,Yes,2.8516666666666666
Male,Month-to-month,Electronic check,Fiber optic,1444.65,15,Yes,3.1116666666666664
Female,Month-to-month,Bank transfer (automatic),Fiber optic,5405.8,50,No,3.6550000000000002
Male,Two year,Credit card (automatic),DSL,6339.3,72,No,2.99
Female,Month-to-month,Mailed check,Fiber optic,3847.6,46,No,2.808333333333333
Female,Two year,Bank transfer (automatic),DSL,6733.0,72,No,3.0883333333333334
Male,Month-to-month,Mailed check,No,19.7,1,No,0.6566666666666666
Female,Month-to-month,Electronic check,DSL,50.1,1,No,1.6700000000000002
Female,Two year,Bank transfer (automatic),Fiber optic,6140.85,67,No,3.0816666666666666
Female,Two year,Electronic check,DSL,3870.3,48,No,2.6550000000000002
Female,Two year,Electronic check,Fiber optic,7624.2,72,No,3.6633333333333336
Male,One year,Credit card (automatic),DSL,4354.45,52,No,2.7133333333333334
Female,One year,Credit card (automatic),DSL,3431.75,67,No,1.6849999999999998
Female,Month-to-month,Electronic check,Fiber optic,2227.1,28,Yes,2.7016666666666667
Female,Month-to-month,Bank transfer (automatic),DSL,2045.55,32,No,2.0816666666666666
Female,Month-to-month,Bank transfer (automatic),Fiber optic,1929.35,27,Yes,2.506666666666667
Male,Month-to-month,Electronic check,Fiber optic,268.45,3,No,3.0133333333333336
Male,Month-to-month,Electronic check,Fiber optic,181.5,2,Yes,2.855
Female,Month-to-month,Mailed check,DSL,651.4,9,Yes,2.43
Male,Two year,Credit card (automatic),DSL,3486.65,50,No,2.35
Female,Two year,Bank transfer (automatic),No,1389.6,71,No,0.67
Male,Month-to-month,Electronic check,Fiber optic,2303.35,32,Yes,2.496666666666667
Female,Month-to-month,Bank transfer (automatic),Fiber optic,1522.7,16,No,3.356666666666667
Female,Two year,Bank transfer (automatic),Fiber optic,6717.9,67,No,3.521666666666667
Male,Two year,Credit card (automatic),Fiber optic,8058.55,72,No,3.81
Female,Month-to-month,Electronic check,No,58.85,3,Yes,0.6583333333333333
Male,One year,Mailed check,No,538.5,23,No,0.8116666666666668
Male,Two year,Bank transfer (automatic),DSL,5102.35,72,No,2.328333333333333
Male,Month-to-month,Mailed check,DSL,465.7,7,No,1.9616666666666667
Male,Month-to-month,Electronic check,DSL,475.1,8,No,1.8133333333333332
Male,Two year,Bank transfer (automatic),DSL,3364.55,66,No,1.6849999999999998
Male,Month-to-month,Mailed check,No,113.85,5,Yes,0.7016666666666667
Male,Month-to-month,Bank transfer (automatic),Fiber optic,5036.3,49,Yes,3.4566666666666666
Male,Two year,Bank transfer (automatic),No,1234.8,63,No,0.6649999999999999
Female,Month-to-month,Mailed check,DSL,355.9,12,No,0.9766666666666667
Male,Month-to-month,Credit card (automatic),DSL,1510.3,27,No,1.825
Female,Month-to-month,Electronic check,DSL,1982.6,35,No,2.018333333333333
Female,Month-to-month,Electronic check,DSL,4524.05,54,No,2.8733333333333335
Male,Month-to-month,Electronic check,Fiber optic,95.45,1,Yes,3.1816666666666666
Male,Month-to-month,Credit card (automatic),DSL,318.1,5,No,2.131666666666667
Male,One year,Bank transfer (automatic),DSL,1231.85,19,No,2.1783333333333332
Male,Two year,Mailed check,DSL,2554.0,52,No,1.6733333333333333
Female,Two year,Bank transfer (automatic),DSL,4684.3,72,No,2.1266666666666665
Male,Two year,Bank transfer (automatic),No,614.45,32,No,0.6683333333333333
Female,Month-to-month,Electronic check,Fiber optic,842.9,8,Yes,3.371666666666667
Male,One year,Mailed check,DSL,2531.8,41,No,2.1666666666666665
Male,Month-to-month,Mailed check,No,86.05,5,No,0.6416666666666667
Female,One year,Mailed check,DSL,402.6,11,No,1.2016666666666667
Male,Month-to-month,Electronic check,Fiber optic,453.4,5,Yes,3.203333333333333
Female,One year,Mailed check,No,326.65,16,No,0.635
Male,One year,Bank transfer (automatic),Fiber optic,7382.85,71,No,3.525
Female,One year,Credit card (automatic),DSL,422.6,11,No,1.3466666666666667
Female,Month-to-month,Electronic check,Fiber optic,6010.05,61,Yes,3.305
Female,One year,Bank transfer (automatic),DSL,6046.1,71,No,2.8266666666666667
Male,Month-to-month,Mailed check,No,178.8,9,No,0.6616666666666667
Female,Month-to-month,Electronic check,DSL,314.6,6,No,1.6483333333333334
Female,Month-to-month,Bank transfer (automatic),Fiber optic,2274.35,26,Yes,2.96
Female,Month-to-month,Mailed check,DSL,322.9,6,No,1.8383333333333334
Male,Month-to-month,Electronic check,Fiber optic,888.75,11,No,2.8266666666666667
Male,Month-to-month,Electronic check,Fiber optic,80.55,1,Yes,2.685
Female,Two year,Bank transfer (automatic),No,973.35,49,No,0.6716666666666666
Female,Month-to-month,Credit card (automatic),DSL,168.6,3,No,1.9566666666666668
Female,Two year,Mailed check,Fiber optic,5424.25,53,No,3.316666666666667
Male,Month-to-month,Electronic check,Fiber optic,2331.3,23,Yes,3.328333333333333
Male,Month-to-month,Electronic check,DSL,89.5,2,Yes,1.5116666666666667
Male,Month-to-month,Mailed check,DSL,48.55,1,Yes,1.6183333333333332
Male,Two year,Mailed check,No,121.25,3,No,0.88
Female,Month-to-month,Electronic check,Fiber optic,6851.65,68,Yes,3.3400000000000003
Male,Month-to-month,Electronic check,Fiber optic,740.3,8,Yes,3.1566666666666667
Female,One year,Electronic check,Fiber optic,6982.5,70,No,3.2550000000000003
Male,One year,Electronic check,Fiber optic,3835.55,39,No,3.3333333333333335
Female,Month-to-month,Electronic check,Fiber optic,70.1,1,Yes,2.3366666666666664
Female,Month-to-month,Electronic check,Fiber optic,315.3,3,Yes,3.2633333333333336
Male,One year,Bank transfer (automatic),Fiber optic,6157.6,60,No,3.4166666666666665
Female,Month-to-month,Electronic check,Fiber optic,330.15,5,Yes,2.3316666666666666
Male,Month-to-month,Electronic check,Fiber optic,233.7,3,Yes,2.7116666666666664
Female,One year,Credit card (automatic),DSL,3462.1,55,No,2.2016666666666667
Male,Two year,Credit card (automatic),DSL,4390.25,72,No,2.04
Male,Two year,Bank transfer (automatic),DSL,5360.75,72,No,2.48
Female,Month-to-month,Electronic check,Fiber optic,4443.45,41,Yes,3.5433333333333334
Male,Two year,Bank transfer (automatic),DSL,2424.5,60,No,1.32
Female,Month-to-month,Electronic check,Fiber optic,577.6,6,Yes,2.9766666666666666
Female,Two year,Credit card (automatic),Fiber optic,4854.3,46,No,3.6300000000000003
Female,Month-to-month,Mailed check,No,320.45,15,No,0.6633333333333333
Female,Month-to-month,Credit card (automatic),Fiber optic,5885.4,58,Yes,3.4033333333333333
Male,Two year,Credit card (automatic),No,426.65,23,No,0.6533333333333334
Female,Month-to-month,Electronic check,Fiber optic,2911.3,31,Yes,3.296666666666667
Male,Month-to-month,Bank transfer (automatic),DSL,521.9,11,No,1.53
Female,Two year,Bank transfer (automatic),Fiber optic,5706.3,56,No,3.33
Female,Month-to-month,Credit card (automatic),No,471.7,25,No,0.6683333333333333
Female,Two year,Credit card (automatic),DSL,4539.6,68,No,2.145
Female,Two year,Credit card (automatic),No,830.25,40,No,0.6549999999999999
Male,Month-to-month,Electronic check,Fiber optic,3067.2,36,Yes,2.83
Male,Month-to-month,Credit card (automatic),Fiber optic,3432.9,32,Yes,3.605
Male,Two year,Bank transfer (automatic),DSL,6263.8,71,No,2.895
Male,Month-to-month,Electronic check,Fiber optic,1742.5,17,No,3.4183333333333334
Male,Month-to-month,Electronic check,Fiber optic,1468.75,18,No,2.606666666666667
Female,Month-to-month,Bank transfer (automatic),Fiber optic,3382.3,37,No,3.04
Male,Month-to-month,Mailed check,No,46.35,2,No,0.645
Female,One year,Bank transfer (automatic),Fiber optic,1992.2,28,No,2.3466666666666667
Male,One year,Mailed check,DSL,373.0,9,No,1.3183333333333331
Female,Month-to-month,Electronic check,DSL,50.15,1,No,1.6716666666666666
Male,Two year,Credit card (automatic),No,1414.45,65,No,0.6799999999999999
Female,Month-to-month,Electronic check,DSL,122.7,3,No,1.4866666666666668
Female,Month-to-month,Electronic check,DSL,34.7,1,Yes,1.1566666666666667
Male,Month-to-month,Electronic check,Fiber optic,3366.05,36,No,3.1199999999999997
Male,Month-to-month,Electronic check,Fiber optic,1943.2,23,Yes,3.02
Male,Month-to-month,Mailed check,DSL,1271.8,22,No,1.9316666666666669
Female,Two year,Credit card (automatic),Fiber optic,7965.95,72,No,3.7366666666666664
Female,Month-to-month,Electronic check,Fiber optic,1460.65,17,Yes,2.941666666666667
Female,Month-to-month,Electronic check,Fiber optic,272.2,3,Yes,2.86
Male,One year,Credit card (automatic),DSL,3563.8,58,Yes,2.01
Male,Two year,Credit card (automatic),DSL,5398.6,67,No,2.7116666666666664
Male,One year,Electronic check,Fiber optic,3343.15,34,No,3.328333333333333
Male,Month-to-month,Credit card (automatic),No,198.7,10,No,0.6666666666666666
Female,Two year,Credit card (automatic),DSL,5897.4,69,No,2.8449999999999998
Male,One year,Credit card (automatic),DSL,2511.55,40,No,2.0683333333333334
Male,Month-to-month,Credit card (automatic),DSL,1398.6,20,No,2.146666666666667
Female,Two year,Mailed check,No,967.85,46,No,0.6466666666666666
Female,Month-to-month,Electronic check,Fiber optic,139.4,2,Yes,2.48
Female,Month-to-month,Mailed check,Fiber optic,70.45,1,Yes,2.3483333333333336
Female,Two year,Credit card (automatic),Fiber optic,7589.8,72,No,3.5
Male,Two year,Credit card (automatic),No,1790.15,70,No,0.8383333333333333
Female,Month-to-month,Mailed check,No,44.4,2,No,0.6433333333333333
Male,Month-to-month,Bank transfer (automatic),DSL,1284.2,23,No,1.8433333333333333
Male,Month-to-month,Electronic check,Fiber optic,3474.2,36,No,3.18
Male,Month-to-month,Bank transfer (automatic),Fiber optic,5574.75,59,Yes,3.128333333333333
Male,Two year,Bank transfer (automatic),No,1430.95,67,No,0.6833333333333333
Male,Two year,Bank transfer (automatic),Fiber optic,7542.25,72,No,3.518333333333333
Female,Month-to-month,Bank transfer (automatic),Fiber optic,3545.35,37,Yes,3.396666666666667
Female,Two year,Bank transfer (automatic),No,1709.1,72,No,0.815
Male,Two year,Credit card (automatic),No,1421.9,72,No,0.6566666666666666
Male,Month-to-month,Electronic check,Fiber optic,229.55,3,Yes,2.48
Female,One year,Credit card (automatic),Fiber optic,5373.1,54,Yes,3.3833333333333333
Male,Month-to-month,Electronic check,Fiber optic,5742.9,60,Yes,3.191666666666667
Female,One year,Credit card (automatic),Fiber optic,6526.65,58,No,3.6883333333333335
Female,Month-to-month,Bank transfer (automatic),Fiber optic,2674.15,31,No,2.795
Female,Month-to-month,Electronic check,DSL,170.5,3,No,2.0083333333333333
Male,Two year,Electronic check,DSL,3175.85,55,No,1.9733333333333334
Female,Month-to-month,Mailed check,DSL,44.4,1,Yes,1.48
Male,Month-to-month,Credit card (automatic),Fiber optic,4297.95,49,No,2.8433333333333333
Male,Month-to-month,Mailed check,DSL,215.2,8,Yes,0.85
Female,Month-to-month,Electronic check,Fiber optic,4036.0,39,No,3.325
Male,Two year,Credit card (automatic),DSL,4428.45,66,No,2.203333333333333
Female,One year,Mailed check,No,295.95,15,No,0.685
Female,One year,Electronic check,Fiber optic,4947.55,51,No,3.295
Male,Month-to-month,Mailed check,DSL,447.9,9,No,1.6400000000000001
Female,Month-to-month,Mailed check,No,20.9,1,Yes,0.6966666666666667
Male,One year,Bank transfer (automatic),No,516.3,25,No,0.65
Male,Month-to-month,Bank transfer (automatic),Fiber optic,1850.65,22,No,2.9
Male,Month-to-month,Electronic check,DSL,749.25,15,No,1.6333333333333333
Female,One year,Bank transfer (automatic),Fiber optic,2598.95,28,Yes,3.003333333333333
Male,Month-to-month,Mailed check,Fiber optic,237.65,3,No,3.0233333333333334
Female,Month-to-month,Electronic check,Fiber optic,4707.1,47,No,3.35
Female,Two year,Mailed check,DSL,5714.2,67,No,2.841666666666667
Female,Month-to-month,Electronic check,Fiber optic,1294.6,18,No,2.49
Male,Two year,Credit card (automatic),DSL,3753.2,62,No,2.005
Female,One year,Electronic check,DSL,3263.9,41,No,2.685
Female,Month-to-month,Mailed check,DSL,2139.1,44,No,1.6716666666666666
Female,One year,Credit card (automatic),Fiber optic,5042.75,53,No,3.1483333333333334
Male,Two year,Mailed check,No,1036.0,48,No,0.6683333333333333
Female,One year,Bank transfer (automatic),Fiber optic,6431.05,54,No,3.853333333333333
Female,Month-to-month,Bank transfer (automatic),DSL,2145.0,48,Yes,1.51
Male,Month-to-month,Bank transfer (automatic),Fiber optic,2404.85,24,No,3.3216666666666668
Male,Two year,Bank transfer (automatic),Fiber optic,2651.1,33,No,2.6866666666666665
Male,Two year,Electronic check,DSL,5538.35,66,No,2.841666666666667
Female,Month-to-month,Electronic check,Fiber optic,200.2,3,No,2.3183333333333334
Female,Two year,Mailed check,DSL,450.4,13,No,1.18
Male,Two year,Credit card (automatic),DSL,5435.0,63,No,2.783333333333333
Female,Month-to-month,Electronic check,Fiber optic,1900.25,23,Yes,2.7933333333333334
Male,Two year,Credit card (automatic),No,1334.5,52,No,0.8533333333333334
Male,Month-to-month,Credit card (automatic),No,67.1,3,No,0.6916666666666667
Male,Month-to-month,Bank transfer (automatic),DSL,503.25,10,No,1.8916666666666666
Female,Two year,Bank transfer (automatic),No,1460.85,72,No,0.67
Male,Month-to-month,Credit card (automatic),Fiber optic,2807.1,29,No,3.2933333333333334
Female,One year,Electronic check,Fiber optic,6312.9,62,No,3.4949999999999997
Male,One year,Electronic check,DSL,3001.2,41,Yes,2.433333333333333
Male,Month-to-month,Electronic check,Fiber optic,3365.85,43,Yes,2.5949999999999998
Female,Two year,Electronic check,Fiber optic,2715.3,26,No,3.515
Female,Month-to-month,Electronic check,Fiber optic,1743.05,19,No,3.2266666666666666
Female,Two year,Credit card (automatic),No,1784.5,72,No,0.8083333333333333
Female,One year,Bank transfer (automatic),Fiber optic,4735.35,45,No,3.4050000000000002
Male,One year,Bank transfer (automatic),DSL,2010.95,32,No,2.1616666666666666
Male,Month-to-month,Bank transfer (automatic),No,996.45,41,No,0.8416666666666667
Male,Two year,Credit card (automatic),No,1715.1,65,No,0.825
Male,Month-to-month,Electronic check,Fiber optic,5238.9,55,Yes,3.225
Male,Two year,Mailed check,No,225.75,11,No,0.6549999999999999
Female,Two year,Bank transfer (automatic),DSL,3721.9,49,No,2.481666666666667
Male,Month-to-month,Bank transfer (automatic),Fiber optic,5943.65,61,No,3.3133333333333335
Male,Month-to-month,Mailed check,No,477.6,25,No,0.6383333333333333
Female,Month-to-month,Electronic check,Fiber optic,69.5,1,Yes,2.316666666666667
Female,One year,Electronic check,DSL,1119.35,23,No,1.6483333333333334
Male,Month-to-month,Electronic check,Fiber optic,1558.7,21,No,2.4566666666666666
Female,Month-to-month,Electronic check,Fiber optic,79.7,1,Yes,2.6566666666666667
Male,Month-to-month,Bank transfer (automatic),Fiber optic,343.95,5,Yes,2.6633333333333336
Male,One year,Bank transfer (automatic),DSL,1712.9,24,No,2.48
Female,Month-to-month,Credit card (automatic),Fiber optic,2467.75,27,Yes,2.9433333333333334
Female,Two year,Bank transfer (automatic),No,1397.65,70,No,0.66
Female,Month-to-month,Credit card (automatic),Fiber optic,349.65,5,Yes,2.518333333333333
Male,Two year,Mailed check,No,917.45,46,No,0.6733333333333333
Female,Month-to-month,Electronic check,Fiber optic,135.75,2,No,2.3883333333333336
Female,Two year,Bank transfer (automatic),No,1087.7,57,No,0.67
Female,Month-to-month,Mailed check,Fiber optic,71.1,1,Yes,2.3699999999999997
Female,One year,Credit card (automatic),Fiber optic,6029.0,60,No,3.35
Male,Two year,Credit card (automatic),DSL,2278.75,37,No,2.0933333333333333
Male,Month-to-month,Mailed check,Fiber optic,70.45,1,Yes,2.3483333333333336
Male,One year,Bank transfer (automatic),Fiber optic,2799.0,28,No,3.3449999999999998
Female,Month-to-month,Mailed check,No,459.95,24,No,0.6766666666666666
Female,One year,Electronic check,Fiber optic,5755.8,62,No,3.0683333333333334
Female,One year,Bank transfer (automatic),No,390.85,18,Yes,0.6716666666666666
Female,Month-to-month,Electronic check,DSL,308.25,5,Yes,1.8066666666666669
Female,Month-to-month,Mailed check,No,442.6,20,No,0.6783333333333333
Female,Month-to-month,Mailed check,Fiber optic,70.75,1,Yes,2.3583333333333334
Male,One year,Bank transfer (automatic),Fiber optic,3626.1,35,Yes,3.4116666666666666
Female,Month-to-month,Electronic check,DSL,2566.3,52,No,1.6833333333333333
Female,Month-to-month,Electronic check,Fiber optic,2624.25,30,Yes,2.8333333333333335
Male,Two year,Bank transfer (automatic),DSL,2962.0,72,No,1.4033333333333333
Male,Month-to-month,Electronic check,Fiber optic,1146.65,15,Yes,2.521666666666667
Male,Two year,Electronic check,Fiber optic,7882.5,70,No,3.82
Male,Two year,Bank transfer (automatic),DSL,4378.9,66,No,2.19
Male,Month-to-month,Electronic check,Fiber optic,4052.4,55,No,2.466666666666667
